country,date,daily_vaccinations,vaccines
Argentina,12/29/2020,,Sputnik V
Argentina,12/30/2020,15656,Sputnik V
Argentina,12/31/2020,15656,Sputnik V
Argentina,1/1/2021,11070,Sputnik V
Argentina,1/2/2021,8776,Sputnik V
Argentina,1/3/2021,7400,Sputnik V
Argentina,1/4/2021,6483,Sputnik V
Argentina,1/5/2021,7984,Sputnik V
Argentina,1/6/2021,8173,Sputnik V
Argentina,1/7/2021,8363,Sputnik V
Argentina,1/8/2021,10519,Sputnik V
Argentina,1/9/2021,11942,Sputnik V
Argentina,1/10/2021,13365,Sputnik V
Argentina,1/11/2021,14788,Sputnik V
Argentina,1/12/2021,14056,Sputnik V
Argentina,1/13/2021,13323,Sputnik V
Argentina,1/14/2021,13320,Sputnik V
Argentina,1/15/2021,13317,Sputnik V
Argentina,1/16/2021,12971,Sputnik V
Argentina,1/17/2021,12624,Sputnik V
Argentina,1/18/2021,12278,Sputnik V
Argentina,1/19/2021,11932,Sputnik V
Argentina,1/20/2021,11586,Sputnik V
Argentina,1/21/2021,11704,Sputnik V
Argentina,1/22/2021,11263,Sputnik V
Argentina,1/23/2021,11124,Sputnik V
Argentina,1/24/2021,10342,Sputnik V
Argentina,1/25/2021,9046,Sputnik V
Austria,1/5/2021,,Pfizer/BioNTech
Austria,1/6/2021,3368,Pfizer/BioNTech
Austria,1/7/2021,3368,Pfizer/BioNTech
Austria,1/8/2021,7263,Pfizer/BioNTech
Austria,1/9/2021,5791,Pfizer/BioNTech
Austria,1/10/2021,4705,Pfizer/BioNTech
Austria,1/11/2021,5031,Pfizer/BioNTech
Austria,1/12/2021,6366,Pfizer/BioNTech
Austria,1/13/2021,7365,Pfizer/BioNTech
Austria,1/14/2021,8429,Pfizer/BioNTech
Austria,1/15/2021,7747,Pfizer/BioNTech
Austria,1/16/2021,7953,Pfizer/BioNTech
Austria,1/17/2021,10129,Pfizer/BioNTech
Austria,1/18/2021,11852,Pfizer/BioNTech
Austria,1/19/2021,12472,Pfizer/BioNTech
Austria,1/20/2021,12489,Pfizer/BioNTech
Austria,1/21/2021,12552,Pfizer/BioNTech
Austria,1/22/2021,11797,Pfizer/BioNTech
Austria,1/23/2021,11765,Pfizer/BioNTech
Austria,1/24/2021,9622,Pfizer/BioNTech
Bahrain,12/23/2020,,"Pfizer/BioNTech, Sinopharm"
Bahrain,12/24/2020,11106,"Pfizer/BioNTech, Sinopharm"
Bahrain,12/25/2020,5789,"Pfizer/BioNTech, Sinopharm"
Bahrain,12/26/2020,4197,"Pfizer/BioNTech, Sinopharm"
Bahrain,12/27/2020,3662,"Pfizer/BioNTech, Sinopharm"
Bahrain,12/28/2020,3210,"Pfizer/BioNTech, Sinopharm"
Bahrain,12/29/2020,2846,"Pfizer/BioNTech, Sinopharm"
Bahrain,12/30/2020,2622,"Pfizer/BioNTech, Sinopharm"
Bahrain,12/31/2020,1225,"Pfizer/BioNTech, Sinopharm"
Bahrain,1/1/2021,1258,"Pfizer/BioNTech, Sinopharm"
Bahrain,1/2/2021,1220,"Pfizer/BioNTech, Sinopharm"
Bahrain,1/3/2021,1011,"Pfizer/BioNTech, Sinopharm"
Bahrain,1/4/2021,943,"Pfizer/BioNTech, Sinopharm"
Bahrain,1/5/2021,1122,"Pfizer/BioNTech, Sinopharm"
Bahrain,1/6/2021,1594,"Pfizer/BioNTech, Sinopharm"
Bahrain,1/7/2021,1942,"Pfizer/BioNTech, Sinopharm"
Bahrain,1/8/2021,2706,"Pfizer/BioNTech, Sinopharm"
Bahrain,1/9/2021,3437,"Pfizer/BioNTech, Sinopharm"
Bahrain,1/10/2021,4080,"Pfizer/BioNTech, Sinopharm"
Bahrain,1/11/2021,4427,"Pfizer/BioNTech, Sinopharm"
Bahrain,1/12/2021,4840,"Pfizer/BioNTech, Sinopharm"
Bahrain,1/13/2021,4699,"Pfizer/BioNTech, Sinopharm"
Bahrain,1/14/2021,5332,"Pfizer/BioNTech, Sinopharm"
Bahrain,1/15/2021,6361,"Pfizer/BioNTech, Sinopharm"
Bahrain,1/16/2021,7572,"Pfizer/BioNTech, Sinopharm"
Bahrain,1/17/2021,7473,"Pfizer/BioNTech, Sinopharm"
Bahrain,1/18/2021,7176,"Pfizer/BioNTech, Sinopharm"
Bahrain,1/19/2021,6546,"Pfizer/BioNTech, Sinopharm"
Bahrain,1/20/2021,6110,"Pfizer/BioNTech, Sinopharm"
Belgium,12/28/2020,,Pfizer/BioNTech
Belgium,12/29/2020,1,Pfizer/BioNTech
Belgium,12/30/2020,234,Pfizer/BioNTech
Belgium,12/31/2020,159,Pfizer/BioNTech
Belgium,1/1/2021,122,Pfizer/BioNTech
Belgium,1/2/2021,97,Pfizer/BioNTech
Belgium,1/3/2021,81,Pfizer/BioNTech
Belgium,1/4/2021,70,Pfizer/BioNTech
Belgium,1/5/2021,283,Pfizer/BioNTech
Belgium,1/6/2021,736,Pfizer/BioNTech
Belgium,1/7/2021,1855,Pfizer/BioNTech
Belgium,1/8/2021,3134,Pfizer/BioNTech
Belgium,1/9/2021,3578,Pfizer/BioNTech
Belgium,1/10/2021,3634,Pfizer/BioNTech
Belgium,1/11/2021,4398,Pfizer/BioNTech
Belgium,1/12/2021,6284,Pfizer/BioNTech
Belgium,1/13/2021,8558,Pfizer/BioNTech
Belgium,1/14/2021,10320,Pfizer/BioNTech
Belgium,1/15/2021,12023,Pfizer/BioNTech
Belgium,1/16/2021,12246,Pfizer/BioNTech
Belgium,1/17/2021,12582,Pfizer/BioNTech
Belgium,1/18/2021,13135,Pfizer/BioNTech
Belgium,1/19/2021,13001,Pfizer/BioNTech
Belgium,1/20/2021,12222,Pfizer/BioNTech
Belgium,1/21/2021,11112,Pfizer/BioNTech
Belgium,1/22/2021,9632,Pfizer/BioNTech
Brazil,1/16/2021,,Sinovac
Brazil,1/17/2021,112,Sinovac
Brazil,1/18/2021,554,Sinovac
Brazil,1/19/2021,3823,Sinovac
Brazil,1/20/2021,7136,Sinovac
Brazil,1/21/2021,27304,Sinovac
Brazil,1/22/2021,40980,Sinovac
Brazil,1/23/2021,76825,Sinovac
Brazil,1/24/2021,86373,Sinovac
Brazil,1/25/2021,99928,Sinovac
Bulgaria,12/29/2020,,"Moderna, Pfizer/BioNTech"
Bulgaria,12/30/2020,2889,"Moderna, Pfizer/BioNTech"
Bulgaria,12/31/2020,1477,"Moderna, Pfizer/BioNTech"
Bulgaria,1/1/2021,1007,"Moderna, Pfizer/BioNTech"
Bulgaria,1/2/2021,799,"Moderna, Pfizer/BioNTech"
Bulgaria,1/3/2021,675,"Moderna, Pfizer/BioNTech"
Bulgaria,1/4/2021,592,"Moderna, Pfizer/BioNTech"
Bulgaria,1/5/2021,533,"Moderna, Pfizer/BioNTech"
Bulgaria,1/6/2021,472,"Moderna, Pfizer/BioNTech"
Bulgaria,1/7/2021,920,"Moderna, Pfizer/BioNTech"
Bulgaria,1/8/2021,1231,"Moderna, Pfizer/BioNTech"
Bulgaria,1/9/2021,1222,"Moderna, Pfizer/BioNTech"
Bulgaria,1/10/2021,1246,"Moderna, Pfizer/BioNTech"
Bulgaria,1/11/2021,1270,"Moderna, Pfizer/BioNTech"
Bulgaria,1/12/2021,1476,"Moderna, Pfizer/BioNTech"
Bulgaria,1/13/2021,1304,"Moderna, Pfizer/BioNTech"
Bulgaria,1/14/2021,938,"Moderna, Pfizer/BioNTech"
Bulgaria,1/15/2021,682,"Moderna, Pfizer/BioNTech"
Bulgaria,1/16/2021,694,"Moderna, Pfizer/BioNTech"
Bulgaria,1/17/2021,662,"Moderna, Pfizer/BioNTech"
Bulgaria,1/18/2021,782,"Moderna, Pfizer/BioNTech"
Bulgaria,1/19/2021,921,"Moderna, Pfizer/BioNTech"
Bulgaria,1/20/2021,1013,"Moderna, Pfizer/BioNTech"
Bulgaria,1/21/2021,1081,"Moderna, Pfizer/BioNTech"
Bulgaria,1/22/2021,1139,"Moderna, Pfizer/BioNTech"
Bulgaria,1/23/2021,1112,"Moderna, Pfizer/BioNTech"
Bulgaria,1/24/2021,1099,"Moderna, Pfizer/BioNTech"
Bulgaria,1/25/2021,1023,"Moderna, Pfizer/BioNTech"
Canada,12/14/2020,,"Moderna, Pfizer/BioNTech"
Canada,12/15/2020,866,"Moderna, Pfizer/BioNTech"
